county_name,fips_code,total_tons,mean_partner_hhi,tons_quartile,unemployment_velocity,gdp_velocity_pct
"Union County, South Dakota",46127,6199.0314662,0.03727926692445745,3,0.0,0.00721293593322528
"Walworth County, South Dakota",46129,1610.360178,0.035306127023787014,1,0.033333333333333215,-0.04357807373758231
"Yankton County, South Dakota",46135,6584.6089959,0.028873797210933756,3,0.06666666666666665,0.016474424993867916
"Ziebach County, South Dakota",46137,698.9741005999999,0.046509196744943915,1,-0.1333333333333333,0.007520258815112065
"Anderson County, Tennessee",47001,9133.6170007,0.07243893137965587,3,0.0,0.025572093393182584
"Bedford County, Tennessee",47003,5561.939435,0.09223169265551742,3,0.1333333333333333,0.03484296752579189
"Benton County, Tennessee",47005,2412.4536607,0.019853245245479174,2,-0.03333333333333351,0.03208161444977144
"Bledsoe County, Tennessee",47007,809.0470614000001,0.018090150486897227,1,-0.03333333333333336,0.07150571717029419
"Blount County, Tennessee",47009,10346.8357262,0.07948912296688537,4,-0.03333333333333336,0.048419738379920405
"Bradley County, Tennessee",47011,10973.386856099998,0.01552594416140117,4,0.06666666666666658,0.016737925182029784
"Campbell County, Tennessee",47013,4850.6802814,0.05553736982454863,3,-0.06666666666666658,0.03755054309937707
"Cannon County, Tennessee",47015,1991.6931584,0.10023453078238616,1,0.03333333333333336,0.026229936849914412
"Carroll County, Tennessee",47017,2195.9872935000003,0.014220758573796732,2,0.10000000000000009,0.0434153457364785
"Carter County, Tennessee",47019,3782.1679796,0.015270999517978185,2,0.06666666666666658,0.019953975979630004
"Cheatham County, Tennessee",47021,3395.6532203999996,0.07964003579504235,2,0.06666666666666658,0.03047335651682699
